asset_age_years,past_failures,current_condition_score,last_maintained_days_ago,traffic_load_trains_per_day,asset_type,observed_urgency_score
13.5,3,10.8,448,129,OHE (Overhead Equipment),55.34
12.6,1,42.1,49,213,OHE (Overhead Equipment),37.22
5.8,4,34.2,460,62,Track (Rail/Ballast),52.38
6.3,2,14.8,417,134,Signal,55.59
23.3,1,76.3,21,186,S&T (Points/Crossing),24.34
38.3,1,45.9,32,40,OHE (Overhead Equipment),32.65
38.3,3,68.0,553,129,Track (Rail/Ballast),54.44
25.9,5,87.0,5,52,S&T (Points/Crossing),30.94
13.9,3,70.5,498,29,Signal,25.01
21.4,3,49.6,675,95,S&T (Points/Crossing),52.95
26.1,2,45.9,690,64,Track (Rail/Ballast),50.78
26.6,2,38.8,372,107,OHE (Overhead Equipment),56.17
6.7,1,25.4,411,202,Track (Rail/Ballast),45.8
18.0,3,69.0,415,190,Signal,39.5
1.3,2,89.5,387,88,Signal,21.0
6.5,2,76.3,460,134,Track (Rail/Ballast),29.54
32.4,0,41.9,282,158,Signal,45.36
37.9,3,50.4,12,203,Track (Rail/Ballast),41.3
29.8,1,13.1,528,80,Signal,54.76
10.8,1,35.4,644,79,Signal,54.76
35.1,0,23.3,200,97,Signal,51.52
26.0,1,38.0,161,112,Track (Rail/Ballast),37.32
8.2,2,83.3,331,91,Signal,31.02
1.0,1,17.3,729,201,OHE (Overhead Equipment),55.31
27.7,1,95.8,462,32,Track (Rail/Ballast),32.62
23.7,3,76.3,28,57,Track (Rail/Ballast),26.66
39.4,2,84.6,94,176,Signal,38.15
29.2,3,56.4,90,178,Track (Rail/Ballast),43.75
39.5,1,58.6,701,55,Signal,62.36
33.4,0,10.3,47,144,OHE (Overhead Equipment),55.43
23.4,1,88.0,23,97,Track (Rail/Ballast),19.66
15.5,1,63.4,210,119,Signal,34.91
38.8,5,15.4,228,101,S&T (Points/Crossing),70.98
2.6,2,74.3,607,218,S&T (Points/Crossing),28.3
6.8,3,56.0,554,139,S&T (Points/Crossing),38.95
14.2,2,23.7,386,109,Signal,53.04
38.1,4,82.9,75,40,Track (Rail/Ballast),23.4
36.4,6,82.3,336,86,S&T (Points/Crossing),34.79
33.6,3,43.8,359,46,OHE (Overhead Equipment),49.11
10.4,3,46.4,54,179,S&T (Points/Crossing),33.1
17.9,1,59.0,91,154,Track (Rail/Ballast),24.08
34.0,3,58.6,579,211,S&T (Points/Crossing),54.39
38.8,0,26.5,579,34,Track (Rail/Ballast),62.83
30.0,2,14.6,227,63,S&T (Points/Crossing),42.59
36.7,1,79.8,51,219,Track (Rail/Ballast),43.24
23.9,6,69.0,25,212,Track (Rail/Ballast),44.5
11.6,3,56.7,468,99,OHE (Overhead Equipment),43.04
34.9,1,49.8,550,131,S&T (Points/Crossing),30.97
13.6,2,77.2,150,217,Track (Rail/Ballast),22.89
16.4,5,25.4,482,197,S&T (Points/Crossing),66.06
29.5,2,11.9,270,138,Signal,61.77
16.1,0,95.2,19,138,Signal,2.68
33.4,1,13.4,555,20,S&T (Points/Crossing),61.4
22.8,3,94.2,211,113,OHE (Overhead Equipment),28.6
21.2,3,92.7,155,38,S&T (Points/Crossing),18.58
30.3,2,58.0,214,192,Signal,34.02
10.5,1,16.2,137,158,S&T (Points/Crossing),44.53
28.4,0,25.7,632,203,S&T (Points/Crossing),71.9
24.3,2,27.7,378,140,Track (Rail/Ballast),58.24
24.0,5,45.3,189,60,OHE (Overhead Equipment),44.52
12.5,0,58.2,124,161,Signal,28.77
20.6,2,94.1,569,126,S&T (Points/Crossing),33.83
24.4,3,80.4,228,17,OHE (Overhead Equipment),26.49
26.6,3,34.7,415,23,Track (Rail/Ballast),44.24
33.1,3,44.8,15,19,S&T (Points/Crossing),33.58
11.3,1,16.4,526,159,OHE (Overhead Equipment),56.27
17.3,5,55.8,55,132,Track (Rail/Ballast),33.39
9.3,1,75.4,131,175,Track (Rail/Ballast),20.71
17.8,0,75.1,615,97,Signal,30.4
11.7,3,77.5,14,106,S&T (Points/Crossing),24.65
19.8,0,10.2,288,192,Track (Rail/Ballast),54.24
23.6,4,20.6,134,33,Signal,55.34
37.7,3,17.1,76,62,OHE (Overhead Equipment),55.42
18.1,1,19.2,727,204,Track (Rail/Ballast),73.06
14.6,3,35.8,367,82,OHE (Overhead Equipment),44.13
8.7,4,34.0,243,30,Track (Rail/Ballast),35.06
37.3,3,44.2,274,214,Track (Rail/Ballast),60.07
37.1,0,98.8,370,79,Track (Rail/Ballast),18.26
31.2,2,90.2,304,203,S&T (Points/Crossing),37.36
4.9,1,38.7,521,156,OHE (Overhead Equipment),50.2
39.7,1,47.6,592,123,S&T (Points/Crossing),53.41
3.0,2,11.7,507,200,OHE (Overhead Equipment),59.47
34.8,1,69.2,348,190,Signal,39.27
21.8,0,60.0,579,81,Track (Rail/Ballast),34.15
13.8,3,50.9,652,162,Signal,55.46
6.0,3,80.2,249,210,Track (Rail/Ballast),33.42
4.0,0,85.6,425,85,Track (Rail/Ballast),20.61
32.1,1,50.1,204,213,S&T (Points/Crossing),45.42
18.4,4,23.2,393,44,Signal,57.28
18.7,2,91.3,58,139,S&T (Points/Crossing),16.66
13.1,0,20.4,640,60,Signal,47.78
8.4,1,97.9,683,211,OHE (Overhead Equipment),33.66
31.5,1,12.0,42,31,S&T (Points/Crossing),48.38
15.9,1,93.6,340,145,Signal,26.88
22.4,7,65.6,450,128,Track (Rail/Ballast),43.79
5.5,1,18.1,356,193,S&T (Points/Crossing),45.51
21.3,2,11.7,422,107,Signal,57.47
33.9,4,92.1,117,188,Track (Rail/Ballast),39.41
9.6,4,92.1,182,44,S&T (Points/Crossing),17.04
30.8,2,25.9,652,172,Signal,69.46
34.2,1,18.9,715,200,Signal,67.67
2.4,0,37.8,127,117,Signal,49.32
30.0,0,56.3,39,215,Signal,44.07
14.5,2,49.2,327,160,Track (Rail/Ballast),37.05
7.5,6,73.5,288,97,Track (Rail/Ballast),35.13
30.2,1,85.4,485,141,Track (Rail/Ballast),42.51
9.3,5,66.4,289,205,Track (Rail/Ballast),41.71
20.9,2,92.1,326,184,Signal,41.81
16.3,4,76.0,24,121,S&T (Points/Crossing),20.14
36.1,2,86.9,259,16,OHE (Overhead Equipment),21.32
11.2,2,45.7,178,50,Signal,32.17
16.3,1,68.2,623,65,S&T (Points/Crossing),42.14
11.0,0,31.5,529,49,Signal,43.02
29.2,1,27.6,513,50,Signal,58.07
11.9,0,82.6,182,139,S&T (Points/Crossing),26.07
12.9,2,78.5,36,22,S&T (Points/Crossing),15.21
22.3,2,80.6,323,98,OHE (Overhead Equipment),23.33
24.1,3,31.7,712,194,Signal,64.95
15.1,1,70.6,271,208,OHE (Overhead Equipment),28.53
2.1,3,23.5,386,28,Signal,54.8
36.5,2,26.3,98,148,Track (Rail/Ballast),59.25
2.8,2,73.4,500,73,Signal,30.94
9.5,2,58.6,707,180,Signal,45.98
26.1,1,93.6,184,165,OHE (Overhead Equipment),30.57
31.6,1,76.9,342,27,Signal,37.31
18.8,2,28.6,217,83,Track (Rail/Ballast),46.67
2.7,2,27.1,5,175,Signal,41.55
20.7,1,44.8,200,156,OHE (Overhead Equipment),40.23
19.7,0,35.0,439,117,S&T (Points/Crossing),55.48
14.1,0,26.2,553,54,Track (Rail/Ballast),44.46
37.1,4,92.0,348,171,Signal,35.71
18.2,3,31.1,620,110,Track (Rail/Ballast),50.61
31.0,2,78.2,190,182,OHE (Overhead Equipment),36.36
12.8,3,59.1,90,59,Signal,33.27
10.6,2,59.7,138,26,Track (Rail/Ballast),36.77
31.7,1,63.8,722,124,S&T (Points/Crossing),49.68
39.4,5,37.4,583,156,S&T (Points/Crossing),66.62
11.7,4,24.4,424,211,Signal,58.66
30.3,0,98.4,447,28,S&T (Points/Crossing),9.32
22.4,2,27.9,437,161,OHE (Overhead Equipment),62.52
1.5,2,36.0,181,32,Track (Rail/Ballast),20.68
17.6,2,44.3,134,72,Track (Rail/Ballast),27.49
14.6,2,18.1,293,74,Track (Rail/Ballast),46.62
18.4,3,29.7,679,138,Track (Rail/Ballast),60.27
20.1,0,13.9,614,142,OHE (Overhead Equipment),56.66
1.3,4,41.4,663,81,Track (Rail/Ballast),47.52
16.5,4,85.9,128,201,OHE (Overhead Equipment),30.03
9.7,1,96.3,203,18,Signal,15.8
25.1,1,59.2,436,139,OHE (Overhead Equipment),39.79
30.5,2,70.4,432,122,Signal,49.97
37.8,4,63.6,642,217,S&T (Points/Crossing),57.76
31.1,1,49.2,294,105,S&T (Points/Crossing),39.74
28.7,4,41.6,525,197,OHE (Overhead Equipment),53.52
14.4,3,44.4,132,40,OHE (Overhead Equipment),31.53
12.1,1,93.5,118,182,OHE (Overhead Equipment),25.53
24.7,4,81.9,433,134,S&T (Points/Crossing),44.92
8.0,4,22.1,322,100,Track (Rail/Ballast),43.91
29.8,2,36.8,594,67,Track (Rail/Ballast),52.07
26.4,3,92.8,285,134,S&T (Points/Crossing),31.82
17.6,5,37.2,612,192,S&T (Points/Crossing),56.49
36.1,1,75.1,73,143,Signal,32.71
23.8,2,80.3,583,53,Signal,43.98
12.0,2,64.2,505,169,S&T (Points/Crossing),48.94
28.5,1,23.0,147,149,OHE (Overhead Equipment),58.7
14.4,4,73.2,536,164,S&T (Points/Crossing),46.56
37.9,1,46.2,502,69,OHE (Overhead Equipment),52.63
18.9,2,74.9,130,126,S&T (Points/Crossing),20.69
16.6,3,61.6,258,23,Track (Rail/Ballast),28.09
9.1,2,47.5,88,28,OHE (Overhead Equipment),18.44
24.3,2,71.5,704,19,Track (Rail/Ballast),38.39
14.5,1,80.9,559,64,OHE (Overhead Equipment),36.28
17.9,5,63.5,70,207,S&T (Points/Crossing),39.89
31.7,0,10.9,515,135,S&T (Points/Crossing),64.18
28.7,1,66.1,145,57,Signal,27.89
16.1,2,86.5,373,107,Signal,26.28
17.9,2,30.5,66,19,Signal,35.97
21.7,3,75.6,357,53,OHE (Overhead Equipment),38.41
21.6,3,91.4,86,30,S&T (Points/Crossing),28.05
4.4,0,51.3,82,193,Track (Rail/Ballast),26.24
8.6,1,79.5,157,144,OHE (Overhead Equipment),27.49
20.6,1,18.2,516,167,OHE (Overhead Equipment),58.97
36.3,3,90.0,218,187,Track (Rail/Ballast),37.81
32.4,1,75.5,688,190,Track (Rail/Ballast),55.25
38.7,5,91.0,567,23,Signal,38.99
24.6,3,19.9,23,210,Track (Rail/Ballast),48.45
20.9,0,96.8,397,125,OHE (Overhead Equipment),18.6
38.5,1,85.8,350,115,OHE (Overhead Equipment),31.87
25.6,4,14.1,77,20,Track (Rail/Ballast),56.9
9.7,3,49.8,159,58,OHE (Overhead Equipment),29.41
6.5,1,70.9,596,35,S&T (Points/Crossing),28.62
29.3,1,18.0,93,82,Track (Rail/Ballast),39.52
24.5,3,48.0,363,52,OHE (Overhead Equipment),38.0
36.9,2,79.5,335,159,S&T (Points/Crossing),36.93
31.4,4,85.4,254,131,S&T (Points/Crossing),46.89
7.4,7,90.4,519,90,Track (Rail/Ballast),31.77
18.7,0,49.8,275,176,S&T (Points/Crossing),38.88
1.1,1,44.7,538,174,S&T (Points/Crossing),52.44
0.5,0,93.9,696,161,Track (Rail/Ballast),39.85
18.4,1,16.6,124,194,Signal,38.71
5.1,2,74.4,687,88,S&T (Points/Crossing),29.38
36.1,5,58.6,491,199,OHE (Overhead Equipment),61.72
26.7,6,93.1,422,92,Track (Rail/Ballast),42.89
25.7,2,11.6,689,69,Signal,63.55
29.0,3,53.7,676,25,Signal,55.15
22.6,0,11.1,684,116,Signal,50.13
24.9,2,56.2,693,47,S&T (Points/Crossing),37.63
33.0,1,21.0,443,33,S&T (Points/Crossing),54.62
2.5,2,14.5,163,15,Signal,29.16
14.2,0,54.8,355,58,OHE (Overhead Equipment),26.68
14.4,5,67.2,297,196,OHE (Overhead Equipment),40.08
14.5,4,39.2,223,148,Track (Rail/Ballast),52.48
37.1,3,73.5,612,124,OHE (Overhead Equipment),50.48
20.4,2,71.5,486,26,Track (Rail/Ballast),43.58
34.1,0,28.4,255,94,Signal,47.3
9.5,1,24.3,580,136,Track (Rail/Ballast),46.51
3.8,1,90.3,723,41,OHE (Overhead Equipment),33.84
12.9,0,68.3,591,88,Signal,34.62
23.5,2,69.2,354,123,OHE (Overhead Equipment),28.0
31.3,4,90.4,547,209,Signal,44.37
33.7,2,79.2,526,155,Track (Rail/Ballast),34.73
37.4,4,99.9,448,152,Signal,27.88
23.5,1,97.7,370,60,OHE (Overhead Equipment),20.04
31.5,2,79.2,377,149,Signal,26.47
39.6,1,87.2,374,22,OHE (Overhead Equipment),32.51
33.0,3,56.0,271,48,Track (Rail/Ballast),42.4
22.5,2,87.8,284,173,Signal,30.08
1.6,3,67.9,159,21,OHE (Overhead Equipment),17.92
6.9,4,43.8,371,155,OHE (Overhead Equipment),34.12
16.1,5,87.9,284,214,S&T (Points/Crossing),27.5
26.7,2,39.7,252,75,S&T (Points/Crossing),58.46
23.0,3,27.6,513,154,Track (Rail/Ballast),47.34
5.2,2,52.7,252,175,Track (Rail/Ballast),40.9
34.6,3,22.1,305,159,Track (Rail/Ballast),56.23
28.0,1,65.1,487,130,OHE (Overhead Equipment),54.12
22.9,3,81.3,131,200,S&T (Points/Crossing),30.56
9.9,1,60.1,221,162,Signal,22.84
12.4,1,15.8,113,128,S&T (Points/Crossing),33.52
8.0,3,66.4,552,205,S&T (Points/Crossing),51.57
8.8,5,95.0,111,43,Track (Rail/Ballast),7.77
36.9,2,55.6,573,159,OHE (Overhead Equipment),53.2
13.9,1,57.8,341,116,OHE (Overhead Equipment),39.67
33.1,1,64.6,324,68,S&T (Points/Crossing),44.53
8.5,2,80.2,400,210,S&T (Points/Crossing),29.12
37.5,0,28.9,363,165,OHE (Overhead Equipment),75.02
34.1,4,61.4,111,200,S&T (Points/Crossing),44.67
35.0,1,58.2,341,112,S&T (Points/Crossing),52.51
9.8,3,50.4,146,36,OHE (Overhead Equipment),30.44
5.3,0,42.9,82,66,S&T (Points/Crossing),20.95
30.0,1,96.5,598,199,OHE (Overhead Equipment),33.55
1.8,2,34.2,84,200,Track (Rail/Ballast),42.28
25.1,2,91.7,449,154,S&T (Points/Crossing),37.46
4.0,4,68.8,583,210,OHE (Overhead Equipment),44.87
26.2,0,19.4,118,75,Track (Rail/Ballast),54.46
11.9,6,81.1,438,36,Track (Rail/Ballast),38.46
18.6,2,48.0,100,150,S&T (Points/Crossing),31.37
12.8,4,30.5,577,46,Signal,43.07
10.7,0,74.8,686,52,OHE (Overhead Equipment),39.52
25.0,4,57.7,103,159,S&T (Points/Crossing),38.25
14.4,3,35.8,229,34,S&T (Points/Crossing),28.92
37.9,4,97.3,134,64,S&T (Points/Crossing),34.73
31.4,3,97.3,725,65,S&T (Points/Crossing),43.11
26.8,0,85.8,466,54,S&T (Points/Crossing),34.57
17.9,2,88.0,627,53,Track (Rail/Ballast),38.75
31.4,2,84.1,218,62,S&T (Points/Crossing),28.28
11.9,1,79.5,410,131,S&T (Points/Crossing),27.97
37.4,2,37.7,470,202,Track (Rail/Ballast),59.11
39.3,1,92.5,457,180,Signal,36.62
0.8,5,29.3,488,41,Track (Rail/Ballast),44.97
30.9,1,24.0,112,40,Track (Rail/Ballast),45.04
12.6,1,20.3,185,170,Track (Rail/Ballast),44.62
18.5,2,17.2,553,178,Track (Rail/Ballast),66.3
4.2,1,92.0,634,97,Track (Rail/Ballast),28.83
25.4,2,69.9,134,42,Track (Rail/Ballast),29.66
12.9,3,21.2,203,151,S&T (Points/Crossing),43.34
18.0,4,21.3,217,206,OHE (Overhead Equipment),56.8
1.2,1,55.4,727,50,OHE (Overhead Equipment),35.68
26.8,2,25.7,463,47,S&T (Points/Crossing),53.81
14.1,2,34.2,644,201,Track (Rail/Ballast),51.41
24.2,1,55.4,387,72,Track (Rail/Ballast),41.61
27.3,3,70.8,181,41,S&T (Points/Crossing),35.88
14.1,2,63.4,489,158,Signal,47.99
1.5,1,47.4,75,42,Signal,20.89
4.0,5,30.9,315,218,OHE (Overhead Equipment),42.9
11.6,3,97.1,693,22,OHE (Overhead Equipment),25.36
11.3,1,99.9,650,92,OHE (Overhead Equipment),18.67
19.0,1,37.8,665,139,Track (Rail/Ballast),42.35
31.7,2,82.5,266,184,Signal,38.07
28.5,2,27.3,310,143,Signal,53.27
27.4,2,14.6,384,212,OHE (Overhead Equipment),74.28
39.2,3,55.5,64,18,Signal,40.33
21.5,2,77.1,591,70,OHE (Overhead Equipment),29.23
31.7,2,18.9,136,202,S&T (Points/Crossing),44.72
26.9,2,88.1,616,111,Track (Rail/Ballast),34.89
25.8,4,33.1,134,142,Signal,49.29
32.3,2,56.3,200,179,Signal,44.76
28.5,1,24.9,104,182,Signal,51.97
21.7,2,75.5,209,158,OHE (Overhead Equipment),25.46
16.7,2,82.4,614,29,S&T (Points/Crossing),42.98
2.1,2,54.3,74,131,Signal,25.44
27.1,3,10.0,314,183,Track (Rail/Ballast),70.76
28.4,1,24.7,212,121,S&T (Points/Crossing),46.94
37.2,2,12.9,126,193,S&T (Points/Crossing),56.96
31.2,0,93.3,559,167,S&T (Points/Crossing),44.78
27.8,1,30.4,578,178,Track (Rail/Ballast),55.57
11.9,3,24.5,98,63,Signal,43.9
2.8,2,10.0,28,192,Track (Rail/Ballast),39.43
15.9,2,86.2,458,200,S&T (Points/Crossing),29.56
35.8,3,30.4,551,63,S&T (Points/Crossing),65.46
25.2,1,86.4,21,150,S&T (Points/Crossing),19.68
11.9,4,76.5,344,75,Signal,35.65
2.7,3,93.3,703,199,Track (Rail/Ballast),47.26
10.2,3,97.0,98,182,Track (Rail/Ballast),27.97
18.7,3,89.2,657,90,OHE (Overhead Equipment),33.24
19.3,5,37.0,599,60,S&T (Points/Crossing),50.42
26.7,4,19.6,231,59,Signal,64.39
5.7,2,85.4,314,42,OHE (Overhead Equipment),24.49
20.0,0,72.9,210,110,S&T (Points/Crossing),21.3
31.7,4,51.0,34,98,OHE (Overhead Equipment),45.3
4.1,2,78.0,702,111,Signal,33.58
23.0,0,65.1,256,82,OHE (Overhead Equipment),36.56
17.5,2,76.0,173,206,Signal,34.33
26.5,0,29.2,7,118,S&T (Points/Crossing),43.35
31.4,3,62.8,591,172,OHE (Overhead Equipment),61.73
38.5,3,17.9,299,100,S&T (Points/Crossing),61.52
27.1,2,80.9,270,89,Signal,28.02
23.4,3,20.1,100,90,Signal,57.78
2.5,3,55.9,174,171,S&T (Points/Crossing),35.19
28.8,2,92.9,689,71,S&T (Points/Crossing),30.45
30.9,1,98.2,521,18,Signal,21.68
7.0,3,66.0,697,90,OHE (Overhead Equipment),50.35
36.8,4,52.7,589,52,OHE (Overhead Equipment),56.19
22.6,1,23.9,620,97,Signal,63.0
10.1,3,23.8,432,81,OHE (Overhead Equipment),43.5
25.0,1,80.8,63,206,OHE (Overhead Equipment),29.28
6.9,0,23.8,575,45,Signal,57.06
26.3,1,79.6,450,63,Signal,35.98
15.4,2,20.2,298,160,OHE (Overhead Equipment),55.05
4.4,4,83.9,422,119,Track (Rail/Ballast),26.41
4.2,0,34.5,563,202,Signal,50.4
22.7,3,31.1,154,61,Signal,39.26
8.7,2,34.6,383,127,Signal,46.71
25.5,2,39.5,499,194,S&T (Points/Crossing),53.25
1.5,2,86.4,540,54,OHE (Overhead Equipment),23.1
17.1,2,82.7,384,40,OHE (Overhead Equipment),34.17
32.4,1,76.9,46,148,Signal,37.66
28.7,1,44.9,650,56,Signal,51.58
29.0,1,35.4,149,56,OHE (Overhead Equipment),42.48
38.2,4,89.0,53,86,Track (Rail/Ballast),25.02
0.8,5,84.5,679,108,OHE (Overhead Equipment),43.8
15.5,1,74.7,724,192,Signal,48.73
31.7,6,72.6,106,67,Track (Rail/Ballast),42.58
9.9,2,79.9,729,179,S&T (Points/Crossing),39.51
8.5,2,14.5,588,182,OHE (Overhead Equipment),63.54
7.5,2,35.1,494,103,OHE (Overhead Equipment),34.45
13.7,3,37.7,308,161,Signal,47.64
17.6,2,93.1,165,25,OHE (Overhead Equipment),26.39
31.9,2,15.3,545,128,S&T (Points/Crossing),73.2
7.4,3,46.5,149,140,S&T (Points/Crossing),38.79
21.4,5,75.6,335,76,S&T (Points/Crossing),29.0
3.5,2,65.9,646,31,S&T (Points/Crossing),30.24
20.2,1,48.0,568,104,S&T (Points/Crossing),46.8
32.8,7,10.2,229,203,OHE (Overhead Equipment),66.96
32.4,0,67.5,556,211,Track (Rail/Ballast),49.42
32.3,0,44.0,105,133,S&T (Points/Crossing),34.44
2.0,1,49.6,180,46,S&T (Points/Crossing),32.56
39.9,3,29.0,191,176,Track (Rail/Ballast),57.56
36.5,1,22.9,60,87,Signal,51.81
9.1,2,72.3,213,142,S&T (Points/Crossing),35.48
31.8,2,27.5,388,115,OHE (Overhead Equipment),59.13
9.5,3,48.5,242,152,S&T (Points/Crossing),34.23
35.1,2,37.8,6,82,OHE (Overhead Equipment),39.34
3.1,1,53.2,710,65,Signal,28.04
1.9,4,34.7,240,61,Track (Rail/Ballast),30.62
19.5,2,27.1,115,202,S&T (Points/Crossing),49.38
15.0,3,54.6,74,184,Track (Rail/Ballast),34.38
31.8,1,25.6,40,151,Signal,47.6
15.8,2,54.6,93,49,Track (Rail/Ballast),32.92
33.0,1,65.1,188,196,Track (Rail/Ballast),48.95
6.9,1,55.9,156,95,Signal,28.59
17.0,3,56.1,347,126,Track (Rail/Ballast),40.89
37.9,1,85.2,50,177,OHE (Overhead Equipment),28.24
27.3,0,78.4,309,102,OHE (Overhead Equipment),34.07
39.4,1,84.6,574,163,Track (Rail/Ballast),43.95
1.7,2,85.7,22,175,OHE (Overhead Equipment),8.42
16.9,3,84.5,143,175,Track (Rail/Ballast),37.67
39.1,3,25.2,361,173,OHE (Overhead Equipment),56.91
29.6,5,62.0,251,71,OHE (Overhead Equipment),30.63
35.7,0,29.3,559,128,Signal,56.74
37.1,4,88.1,170,32,S&T (Points/Crossing),23.47
4.9,0,40.2,611,147,Signal,47.2
18.8,0,37.9,525,68,OHE (Overhead Equipment),44.04
32.2,3,53.5,169,144,OHE (Overhead Equipment),34.81
12.4,1,42.1,177,173,Signal,33.25
27.9,4,52.3,148,98,Track (Rail/Ballast),48.57
36.2,0,49.8,327,86,S&T (Points/Crossing),41.64
33.2,2,96.8,727,157,OHE (Overhead Equipment),37.6
23.3,1,48.2,102,68,Signal,36.05
14.2,3,39.4,695,93,Signal,50.69
9.5,1,75.5,36,149,Signal,22.45
22.1,2,28.6,14,41,Signal,32.99
18.5,2,29.4,475,159,S&T (Points/Crossing),44.25
19.2,0,22.0,145,37,Track (Rail/Ballast),37.63
9.8,2,62.1,272,128,Track (Rail/Ballast),39.13
20.8,0,63.9,579,157,OHE (Overhead Equipment),33.34
14.0,3,11.1,435,45,Track (Rail/Ballast),48.22
5.3,2,27.8,439,42,OHE (Overhead Equipment),41.82
25.9,6,32.9,317,45,OHE (Overhead Equipment),56.24
33.2,0,91.0,636,170,Signal,46.66
36.9,3,15.0,441,150,OHE (Overhead Equipment),65.29
10.9,2,91.8,644,206,S&T (Points/Crossing),47.24
20.1,1,85.6,68,59,Track (Rail/Ballast),32.82
22.1,3,12.2,216,197,S&T (Points/Crossing),50.64
36.8,3,57.8,369,209,S&T (Points/Crossing),60.1
34.7,3,17.9,134,217,Track (Rail/Ballast),57.1
28.1,0,72.7,134,18,Track (Rail/Ballast),25.86
28.1,1,35.2,539,19,Track (Rail/Ballast),47.23
16.1,3,14.7,282,124,OHE (Overhead Equipment),41.63
17.1,0,66.2,586,110,OHE (Overhead Equipment),37.95
23.1,0,50.3,373,46,OHE (Overhead Equipment),34.69
37.5,3,88.9,276,20,OHE (Overhead Equipment),28.66
13.8,3,90.2,303,139,S&T (Points/Crossing),34.27
30.0,3,55.2,335,144,Signal,45.16
16.6,3,95.0,237,108,Signal,30.37
8.2,3,58.3,557,70,S&T (Points/Crossing),39.66
9.9,4,28.8,36,202,Signal,45.62
29.1,1,72.3,440,86,S&T (Points/Crossing),39.8
28.7,1,94.9,644,117,Track (Rail/Ballast),41.81
16.8,1,69.3,659,177,Track (Rail/Ballast),45.79
29.2,5,63.5,221,148,Track (Rail/Ballast),49.05
39.0,5,74.5,189,108,S&T (Points/Crossing),34.71
18.5,3,20.6,685,121,Signal,69.12
32.0,0,48.1,79,124,Track (Rail/Ballast),41.08
27.6,1,28.4,244,123,S&T (Points/Crossing),47.57
3.9,2,84.2,279,211,Track (Rail/Ballast),30.42
19.1,1,60.4,603,73,S&T (Points/Crossing),41.41
21.8,1,80.6,316,146,S&T (Points/Crossing),27.9
19.9,2,98.0,396,43,Signal,21.5
26.0,8,24.7,141,15,S&T (Points/Crossing),55.69
30.5,3,86.8,398,66,Signal,33.69
28.0,5,66.1,301,107,S&T (Points/Crossing),45.26
10.6,1,31.9,457,125,Signal,42.37
19.1,1,52.2,372,79,S&T (Points/Crossing),35.56
39.0,3,37.8,509,25,Signal,55.14
6.8,1,64.9,97,104,S&T (Points/Crossing),11.98
31.1,1,18.7,439,32,OHE (Overhead Equipment),56.97
17.5,0,76.6,174,72,OHE (Overhead Equipment),22.38
30.5,2,53.1,43,74,Signal,33.92
28.7,5,21.6,615,137,Signal,61.83
3.3,0,93.6,328,195,OHE (Overhead Equipment),16.02
12.2,0,32.0,376,159,OHE (Overhead Equipment),45.2
25.6,1,77.1,37,21,OHE (Overhead Equipment),25.52
21.5,0,59.2,567,205,S&T (Points/Crossing),38.4
22.3,2,39.0,152,212,Signal,47.22
13.9,4,87.4,268,137,OHE (Overhead Equipment),12.79
34.4,1,71.2,571,181,S&T (Points/Crossing),45.65
8.3,3,28.6,692,143,Signal,55.64
39.9,0,51.6,495,96,Signal,41.9
1.2,2,19.1,565,192,S&T (Points/Crossing),54.19
2.2,3,46.6,602,29,OHE (Overhead Equipment),49.44
4.1,3,83.8,517,152,S&T (Points/Crossing),37.68
22.3,1,53.3,350,19,Signal,32.2
22.9,2,81.4,482,37,Track (Rail/Ballast),25.32
31.8,3,37.2,162,192,Signal,58.88
9.7,1,61.2,568,103,OHE (Overhead Equipment),34.96
14.8,0,60.4,278,52,S&T (Points/Crossing),25.63
10.8,7,34.6,381,78,Track (Rail/Ballast),48.42
7.2,6,44.3,503,181,S&T (Points/Crossing),48.68
40.0,2,95.2,240,82,Track (Rail/Ballast),24.91
15.2,3,80.8,458,117,OHE (Overhead Equipment),32.42
17.3,2,68.9,564,81,Signal,45.16
1.4,5,86.7,382,120,Signal,12.08
22.8,0,55.6,177,99,Signal,33.58
8.6,3,83.2,594,99,Track (Rail/Ballast),27.05
16.2,2,86.4,350,213,Signal,33.87
35.8,2,99.0,61,94,Track (Rail/Ballast),26.72
27.9,2,10.8,495,71,OHE (Overhead Equipment),59.37
27.6,3,96.0,696,46,Signal,42.41
13.6,4,95.9,306,46,Track (Rail/Ballast),33.4
16.5,2,74.8,338,112,S&T (Points/Crossing),28.99
23.4,5,86.1,532,180,Signal,46.9
24.5,1,53.0,238,30,Signal,18.23
36.9,2,29.1,700,178,Track (Rail/Ballast),69.27
20.2,3,85.1,537,31,S&T (Points/Crossing),35.41
34.7,4,99.9,209,68,OHE (Overhead Equipment),20.18
12.5,2,13.7,436,190,Signal,64.4
6.3,2,92.1,217,143,Track (Rail/Ballast),22.37
1.0,0,52.1,441,84,OHE (Overhead Equipment),33.06
39.8,1,27.4,334,34,Signal,53.12
36.3,1,37.7,418,35,Signal,53.08
26.2,1,21.0,324,158,S&T (Points/Crossing),58.18
24.9,1,81.8,304,139,S&T (Points/Crossing),28.24
16.9,2,46.1,649,141,OHE (Overhead Equipment),55.67
8.1,5,51.0,398,52,Track (Rail/Ballast),35.21
20.7,3,63.2,270,51,S&T (Points/Crossing),43.26
24.0,3,55.4,514,176,Track (Rail/Ballast),41.0
